Position,Track Name,Artist,Streams,URL,Date
1,Shape of You,Ed Sheeran,296591,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-03-01
2,Something Just Like This,The Chainsmokers,261960,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-03-01
3,That's What I Like,Bruno Mars,249568,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-03-01
4,Versace on the Floor,Bruno Mars,232517,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-03-01
5,Say You Won't Let Go,James Arthur,230845,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-03-01
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,193842,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-03-01
7,Paris,The Chainsmokers,171398,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,2017-03-01
8,"How Far I'll Go - From ""Moana""",Alessia Cara,148096,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-03-01
9,It Ain't Me (with Selena Gomez),Kygo,144197,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-03-01
10,Closer,The Chainsmokers,133863,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-03-01
11,24K Magic,Bruno Mars,122859,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-03-01
12,Starving,Hailee Steinfeld,122849,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-03-01
13,Scared to Be Lonely,Martin Garrix,121897,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-03-01
14,Bad Things (with Camila Cabello),Machine Gun Kelly,121212,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-03-01
15,Don't Wanna Know,Maroon 5,117152,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-03-01
16,All Night,The Vamps,111821,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,2017-03-01
17,Call On Me - Ryan Riback Extended Remix,Starley,107726,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-03-01
18,Issues,Julia Michaels,106608,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt,2017-03-01
19,All We Know,The Chainsmokers,104887,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-03-01
20,Perfect Strangers,Jonas Blue,104064,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1,2017-03-01
21,Fresh Eyes,Andy Grammer,101104,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-03-01
22,Sila,SUD,101067,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2017-03-01
23,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,99277,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-03-01
24,It's Gotta Be You,Isaiah Firebrace,97887,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW,2017-03-01
25,Just Hold On,Steve Aoki,96291,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-03-01
26,Chained To The Rhythm,Katy Perry,93861,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi,2017-03-01
27,Stay (with Alessia Cara),Zedd,92789,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-03-01
28,Weak,AJR,92499,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-03-01
29,Cold Water (feat. Justin Bieber & MØ),Major Lazer,87237,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-03-01
30,Lot to Learn,Luke Christopher,86958,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW,2017-03-01
31,Hanggang Kailan,Michael Pangilinan,86943,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic,2017-03-01
32,Let Me Love You,DJ Snake,85213,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-03-01
33,In the Name of Love,Martin Garrix,81537,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-03-01
34,By Your Side,Jonas Blue,81460,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-03-01
35,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,80906,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ,2017-03-01
36,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,79819,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq,2017-03-01
37,Side To Side,Ariana Grande,78438,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-03-01
38,Don't Leave,Snakehips,75191,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92,2017-03-01
39,Jumpshot,Dawin,74378,https://open.spotify.com/track/4izP2KMwrhAdZEtIyp8Z8w,2017-03-01
40,Cold,Maroon 5,72144,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k,2017-03-01
41,Treat You Better,Shawn Mendes,69393,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-03-01
42,Tadhana,Up Dharma Down,68518,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2017-03-01
43,I Feel It Coming,The Weeknd,67330,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-03-01
44,Hiling,Mark Carpio,66456,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL,2017-03-01
45,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,66205,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2017-03-01
46,Castle on the Hill,Ed Sheeran,65264,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,2017-03-01
47,Shout Out to My Ex,Little Mix,64521,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g,2017-03-01
48,Starboy,The Weeknd,62796,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-03-01
49,美女と野獣,Ariana Grande,62305,https://open.spotify.com/track/1KT0xdIjm7t053xByACrrg,2017-03-01
50,Scars To Your Beautiful,Alessia Cara,61173,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,2017-03-01
51,Believer,Imagine Dragons,53846,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,2017-03-01
52,Pasensya Ka Na,Silent Sanctuary,53437,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7,2017-03-01
53,All Time Low,Jon Bellion,52367,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,2017-03-01
54,Photograph,Ed Sheeran,52241,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2017-03-01
55,You,Jona,50683,https://open.spotify.com/track/4OjORl39ULsmkJHOPbOOPJ,2017-03-01
56,The Other,Lauv,49223,https://open.spotify.com/track/1lntL1cI2UIWlxjL5QiN8g,2017-03-01
57,"Sit Still, Look Pretty",Daya,48962,https://open.spotify.com/track/2DpCdPMg1BADE4HDnxt3Rd,2017-03-01
58,Slide (feat. Frank Ocean & Migos),Calvin Harris,48445,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl,2017-03-01
59,Solo Dance,Martin Jensen,48254,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,2017-03-01
60,Sunset Lover,Petit Biscuit,47980,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2017-03-01
61,History,Olivia Holt,47885,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF,2017-03-01
62,Why Can't It Be,Kaye Cal,47527,https://open.spotify.com/track/0zFYa7NIpKhmom8zrZx7Ga,2017-03-01
63,A Love To Last A Lifetime,Juris,45906,https://open.spotify.com/track/4g8lRiznlad8Vy4HR1J3B9,2017-03-01
64,Stay - On the Wings of Love Teleserye Theme,Daryl Ong,43466,https://open.spotify.com/track/5QVuf1MpdzFtFoJGwcKosa,2017-03-01
65,Dahil Sa'Yo,Inigo Pascual,43065,https://open.spotify.com/track/4ai7c2BUjNpElhZdZDH7qF,2017-03-01
66,Your Love - Dolce Amore Teleserye Theme,Juris,42040,https://open.spotify.com/track/2PcbtMoqOlGSzOfyJlkB06,2017-03-01
67,The Scientist,Coldplay,41496,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-03-01
68,Fake Love,Drake,40836,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-03-01
69,Touch,Little Mix,40507,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,2017-03-01
70,iSpy (feat. Lil Yachty),KYLE,38197,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,2017-03-01
71,Paasa - T.A.N.G.A.,Yeng Constantino,37705,https://open.spotify.com/track/2XYb0tB6gqXObZqNsAoMYk,2017-03-01
