Position,Track Name,Artist,Streams,URL,Date
1,Versace on the Floor,Bruno Mars,185236,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-01-01
2,Say You Won't Let Go,James Arthur,180552,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01
3,Closer,The Chainsmokers,158720,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01
4,All We Know,The Chainsmokers,130874,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01
5,Don't Wanna Know,Maroon 5,129656,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01
6,24K Magic,Bruno Mars,123924,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01
7,Starving,Hailee Steinfeld,123786,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-01
8,"How Far I'll Go - From ""Moana""",Alessia Cara,107298,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-01-01
9,Let Me Love You,DJ Snake,104960,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01
10,Starboy,The Weeknd,104708,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01
11,Jumpshot,Dawin,102299,https://open.spotify.com/track/4izP2KMwrhAdZEtIyp8Z8w,2017-01-01
12,Cold Water (feat. Justin Bieber & MØ),Major Lazer,100090,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-01
13,Perfect Strangers,Jonas Blue,99935,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,2017-01-01
14,Bad Things (with Camila Cabello),Machine Gun Kelly,96455,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-01
15,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,95050,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01
16,All Night,The Vamps,91056,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-01
17,In the Name of Love,Martin Garrix,90230,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01
18,Side To Side,Ariana Grande,89786,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-01
19,Call On Me - Ryan Riback Extended Remix,Starley,86250,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01
20,Fresh Eyes,Andy Grammer,81361,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-01-01
21,By Your Side,Jonas Blue,80131,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-01-01
22,Treat You Better,Shawn Mendes,79976,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-01
23,Middle,DJ Snake,74642,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,2017-01-01
24,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,74406,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01
